Country,2000-2005,2006-2010,2011-2015,2016-2019
Martinique,1.520781479,1.512359244,0,0
Mauritania,0.005422933,0.140066299,0.197950956,0.275476937
Mauritius,0.193572979,4.548037371,12.75342699,20.54392398
Mayotte,0,0,0,0
Mexico,0.588882554,6.315914531,10.96300493,14.06399924
Micronesia,0.024446891,0.390330644,2.61154386,3.131541014
Moldova,0.067643555,3.162401802,11.23024314,15.01622087
Monaco,16.01833102,36.37395341,46.18512736,50.71254489
Mongolia,0.026652157,1.195541852,5.15820624,9.012724098
Montenegro,1.243528864,7.290348436,14.83108806,23.50185253
Montserrat,0,0.71026567,24.25298495,0
Morocco,0.26216063,1.485884903,2.521808042,4.140126291
Mozambique,0,0.044693649,0.129342038,0.212710317
Myanmar,0.000496426,0.026537309,0.052718351,0.206116462
Namibia,0.006913203,0.101333515,1.673379571,2.633905667
Nauru,0,9.495252374,0,0
Nepal(Republicof),0,0.075304071,0.882708449,1.820712855
Neth.Antilles,0,0,0,0
Netherlands,11.4694387,34.95643469,40.16522867,43.10092609
NewCaledonia,1.473507254,10.69583616,19.50017208,0
NewZealand,2.697332563,20.28126798,29.31248882,33.74623625
Nicaragua,0.076585877,0.845648862,1.797946862,3.09995097
Niger,0.001071325,0.005040766,0.071833945,0.038557366
Nigeria,0.000360062,0.049340185,0.008720275,0.048837043
Niue,0,0,0,0
NorfolkIslands,0,0,0,0
NorthMacedonia,0.603609328,7.827273954,15.90248389,19.93043333
NorthernMarianas,0,0,0,0
Norway,8.620741214,32.08142041,37.72754567,41.08970217
Oman,0.141099126,1.214327471,3.921177998,8.312121117
Pakistan,0.009107695,0.160836331,0.844993012,0.838347428
Palau,0.439006294,0.744953367,6.297698489,0
Palestine,0.104547996,1.111654064,4.887915206,7.327545525
Panama,0.429677593,5.378810522,7.874732478,11.66354774
PapuaNewGuinea,0,0.062861267,0.143426902,0.209419134
Paraguay,0.02927246,0.628782707,2.488588975,4.458358053
Peru,0.514904526,2.473070532,5.376337105,7.377481918
Philippines,0.070426171,0.967666421,2.481902199,3.784975031
Poland,1.120156969,11.99669321,18.54957392,20.16116357
Portugal,4.604055801,16.29634386,25.22927344,35.78412567
PuertoRico,1.559942385,9.952020454,17.51246796,20.65359395
Qatar,1.220580899,7.152022182,8.834638844,9.664384766
Romania,0.649266957,10.95709438,18.78290328,25.00471009
RussianFederation,0.454810336,6.37269332,15.80860326,21.21084451
Rwanda,0.01328655,0.023984067,0.074790705,0.124818324
Réunion,5.673386994,19.24049264,0,0
SaintKittsandNevis,7.212332147,23.65249668,27.51138156,46.50866463
SaintLucia,2.501325825,8.528578366,14.33384138,17.29113765
SaintVincentandtheGrenadines,1.342372192,8.666639927,13.45802314,20.04852659
Samoa,0.02704205,0.085764415,0.837681289,0.990547646
SanMarino,3.326381742,12.65246818,30.68383682,32.96629431
SaoTomeandPrincipe,0,0.207952446,0.508474243,0.729177722
SaudiArabia,0.20239089,3.810779164,11.86365668,19.9772936
Senegal,0.066935026,0.414255606,0.723621981,0.78321063
Serbia,0.364222726,5.212949825,12.82886497,17.32529511
Seychelles,0.734371777,4.575649827,12.32736972,19.58160519
SierraLeone,0,0,0,0
Singapore,8.421773251,22.2942003,26.81456756,26.46589804
Slovakia,1.328196812,11.5088575,20.5522855,26.76154573
Slovenia,4.337588851,19.446378,25.7274574,29.27358996
SolomonIslands,0.06968909,0.300459713,0.324947883,0.207962353
Somalia,0,0,0.472414719,0.660137049
SouthAfrica,0.130336848,0.94400505,2.504245357,2.01706348
SouthSudan,0,0.000021,0.000704351,0.001711979
Spain,4.761049614,19.27342569,26.22635472,31.90626509
SriLanka,0.047107187,0.58294445,2.252349752,6.277481019
St.Helena,0.183791695,4.695336372,16.93114325,19.6301618
St.Maarten,0,0,0,0
St.Pierre&Miquelon,0,0,0,0
Sudan,0.002708055,0.063886759,0.062751105,0.073141994
Suriname,0.092618312,1.411369703,6.864594328,12.90265195
Sweden,12.43917928,30.54013592,33.31415045,39.02588981
Switzerland,9.864270266,33.09144676,41.82762206,45.95888377
SyrianArabRepublic,0.009035233,0.121225123,2.051765025,7.669152206
Taiwan,ProvinceofChina,10.81874054,21.39994741,27.38634903,24.21665668
Tajikistan,0.000152869,0.056131895,0.070127443,0.068410486
Tanzania,0.006733364,0.012885879,0.128265365,1.329695051
Thailand,0.280803776,3.038305616,7.412663092,12.52007452
Timor-Leste,0.001499537,0.020794375,0.067306543,0.050253549
Togo,0,0.135575206,0.461386563,0.508038962
Tokelau,0,0,0,0
Tonga,0.251422001,0.820116372,1.721285532,2.973082876
TrinidadandTobago,0.311000331,6.580575231,16.42152945,22.77760058
Tunisia,0.051267018,2.324013958,5.015995616,7.913021053
Turkey,0.710962391,7.579850281,11.23489844,15.29882342
Turkmenistan,0,0.008338951,0.035471877,0.078741276
Turks&CaicosIs.,0,0,0,0
Tuvalu,1.003318472,2.232443015,4.144600294,3.983346164
Uganda,0.003070301,0.017716662,0.138837033,0.232325189
Ukraine,0.277231827,3.381392776,8.960421265,13.33754723
UnitedArabEmirates,0.968354611,7.296875134,11.32807373,26.38807465
UnitedKingdom,5.801813611,26.65533631,34.98814566,39.17904483
UnitedStates,8.936033865,24.59306085,30.14030936,33.65670488
Uruguay,1.13705807,7.274889545,20.81651591,28.05940764
Uzbekistan,0.02104945,0.214292071,2.151781996,11.43982352
Vanuatu,0.015666121,0.12427764,0.740037904,2.1030976
Vatican,0,0,0,0
Venezuela,0.515425707,4.013684023,7.46383585,8.905873335
VietNam,0.081614556,2.472604142,6.02389181,12.64371409
VirginIslands(US),2.062688436,7.380286754,8.624618323,0
WallisandFutuna,0,5.443948844,9.623992784,0
Yemen,0.00744999,0.157298385,0.993989892,1.232665996
Zambia,0.001001736,0.050407,0.118266325,0.330314939
Zimbabwe,0.048502901,0.197906897,0.779566466,1.333866592
