Country,2000-2005,2006-2010,2011-2015,2016-2019
RussianFederation,24.794,31.386,27.798,20.951
Rwanda,0.268,0.284,0.363,0.103
Réunion,43.049,53.912,0.000,0.000
SaintKittsandNevis,48.469,42.267,39.012,32.595
SaintLucia,29.205,23.091,19.613,19.715
SaintVincentandtheGrenadines,21.727,20.859,20.229,16.551
Samoa,7.432,4.302,5.204,4.652
SanMarino,72.668,67.945,56.212,49.326
SaoTomeandPrincipe,4.176,4.493,3.783,2.561
SaudiArabia,15.496,15.737,15.278,14.705
Senegal,2.248,2.344,2.390,1.743
Serbia,28.272,33.137,32.881,29.592
Seychelles,24.948,25.175,24.254,20.909
SierraLeone,0.474,0.452,0.243,0.140
Singapore,46.079,39.965,36.722,34.480
Slovakia,25.925,22.534,17.646,13.673
Slovenia,43.740,48.095,39.167,34.881
SolomonIslands,1.602,1.587,1.369,1.140
Somalia,0.666,0.879,0.513,0.418
SouthAfrica,10.599,9.790,7.975,6.433
SouthSudan,0.000,0.025,0.005,0.000
Spain,42.287,43.997,41.554,41.882
SriLanka,4.909,15.073,15.270,11.629
St.Helena,38.135,44.488,46.508,48.120
St.Maarten,0.000,0.000,0.000,0.000
St.Pierre&Miquelon,77.491,76.532,0.000,0.000
Sudan,1.860,1.085,1.012,0.336
Suriname,16.280,16.057,15.794,15.654
Sweden,65.141,56.882,41.454,24.284
Switzerland,72.931,65.084,56.155,40.401
SyrianArabRepublic,12.979,17.853,20.568,17.153
Taiwan,ProvinceofChina,60.696,65.561,66.181,56.424
Tajikistan,3.797,4.431,5.189,5.398
Tanzania,0.449,0.375,0.330,0.207
Thailand,10.024,10.684,8.839,9.428
Timor-Leste,0.219,0.254,0.266,0.184
Togo,1.047,1.843,0.838,0.484
Tokelau,19.513,26.320,0.000,0.000
Tonga,11.804,24.599,22.725,11.470
TrinidadandTobago,24.854,23.493,21.132,21.489
Tunisia,11.402,12.192,9.564,10.512
Turkey,28.774,24.797,17.597,13.942
Turkmenistan,8.229,9.598,11.154,11.795
Turks&CaicosIs.,15.349,11.908,11.272,0.000
Tuvalu,7.409,10.471,14.437,17.704
Uganda,0.255,0.649,0.961,0.483
Ukraine,23.316,27.906,25.379,15.284
UnitedArabEmirates,30.436,21.389,22.363,24.343
UnitedKingdom,58.182,54.219,51.198,47.885
UnitedStates,64.134,52.182,42.294,34.948
Uruguay,28.927,28.896,30.753,33.178
Uzbekistan,6.680,6.703,7.481,10.765
Vanuatu,3.416,3.658,2.089,1.476
Vatican,0.000,0.000,0.000,0.000
Venezuela,11.839,21.479,25.878,20.949
VietNam,5.863,15.334,8.948,4.726
VirginIslands(US),64.494,69.485,72.327,0.000
WallisandFutuna,11.665,20.026,25.360,0.000
Yemen,3.252,4.564,4.482,4.283
Zambia,0.796,0.752,0.686,0.586
Zimbabwe,2.417,2.889,2.436,1.928
