Country,2006-2010,2011-2015,2016-2019
Kazakhstan,22.766,52.154,78.977
Kenya,0.197,6.258,35.570
Kiribati,0.000,0.000,20.733
Korea(Rep.of),84.600,104.334,112.577
Kosovo,0.000,0.000,0.000
Kuwait,58.099,132.583,134.581
Kyrgyzstan,0.511,20.405,83.227
LaoP.D.R.,0.070,5.206,41.552
Latvia,15.249,57.579,113.824
Lebanon,0.000,30.540,45.298
Lesotho,1.883,20.411,52.864
Liberia,0.003,2.098,10.900
Libya,0.000,31.254,35.047
Liechtenstein,0.000,92.407,125.320
Lithuania,5.856,48.972,92.384
Luxembourg,49.954,77.970,98.342
Macao,China,80.918,285.954,331.856
Madagascar,0.046,3.858,12.232
Malawi,0.299,8.321,26.265
Malaysia,3.702,46.518,112.396
Maldives,5.741,29.495,54.458
Mali,0.422,6.148,29.701
Malta,16.043,48.714,82.813
MarshallIslands,0.000,0.000,0.000
Martinique,0.000,0.000,0.000
Mauritania,0.449,10.433,43.715
Mauritius,10.060,26.467,72.343
Mayotte,0.000,0.000,0.000
Mexico,1.443,32.866,68.052
Micronesia,0.000,0.000,0.000
Moldova,1.908,39.278,52.077
Monaco,42.121,56.273,82.987
Mongolia,7.425,40.973,85.289
Montenegro,6.010,28.692,70.106
Montserrat,0.000,19.294,0.000
Morocco,2.636,19.430,56.893
Mozambique,0.591,10.609,23.322
Myanmar,0.000,10.283,79.576
Namibia,7.960,31.861,65.389
Nauru,0.000,13.951,36.577
Nepal(Republicof),0.070,17.709,45.175
Neth.Antilles,0.000,0.000,0.000
Netherlands,37.847,72.066,124.627
NewCaledonia,0.000,5.146,0.000
NewZealand,38.604,81.062,105.671
Nicaragua,0.385,2.348,22.279
Niger,0.000,0.724,2.952
Nigeria,0.599,12.517,27.429
Niue,0.000,0.000,0.000
NorfolkIslands,0.000,0.000,0.000
NorthMacedonia,18.664,39.628,61.903
NorthernMarianas,0.000,0.000,0.000
Norway,66.960,89.162,98.579
Oman,9.970,61.655,95.529
Pakistan,0.025,3.616,26.684
Palau,0.000,0.000,0.000
Palestine,0.000,0.000,11.850
Panama,3.239,33.033,74.227
PapuaNewGuinea,0.000,3.727,9.777
Paraguay,1.864,21.863,55.214
Peru,0.607,19.811,64.479
Philippines,1.990,31.034,61.524
Poland,46.246,61.564,158.957
Portugal,22.341,39.358,71.197
PuertoRico,0.000,29.080,79.793
Qatar,15.376,77.948,127.368
Romania,6.435,41.385,84.076
RussianFederation,34.559,58.824,84.894
Rwanda,0.022,10.268,36.633
Réunion,0.000,0.000,0.000
SaintKittsandNevis,0.000,20.615,68.337
SaintLucia,0.000,17.098,41.806
SaintVincentandtheGrenadines,0.000,14.725,60.102
Samoa,0.000,5.085,24.366
SanMarino,0.000,34.085,125.372
SaoTomeandPrincipe,0.008,7.874,31.681
SaudiArabia,25.527,75.167,97.793
Senegal,0.190,14.229,37.704
Serbia,15.831,47.278,63.845
Seychelles,0.724,10.781,67.353
SierraLeone,0.000,12.467,18.382
Singapore,65.661,133.790,149.734
Slovakia,12.588,49.122,88.509
Slovenia,24.256,40.042,73.449
SolomonIslands,0.777,8.389,16.782
Somalia,0.000,0.559,2.214
SouthAfrica,16.987,40.938,77.481
SouthSudan,0.000,1.117,4.402
Spain,16.652,63.527,95.984
SriLanka,1.451,9.624,56.010
St.Helena,0.000,0.000,0.000
St.Maarten,0.000,0.000,0.000
St.Pierre&Miquelon,0.000,0.000,0.000
Sudan,3.885,24.793,31.568
Suriname,0.000,32.673,56.579
Sweden,72.949,109.598,125.437
Switzerland,27.579,65.319,99.909
SyrianArabRepublic,0.335,5.808,13.736
Taiwan,ProvinceofChina,16.656,58.261,104.114
Tajikistan,0.000,9.399,20.635
Tanzania,0.822,3.706,9.334
Thailand,0.000,45.691,85.695
Timor-Leste,0.000,22.612,40.220
Togo,0.010,2.403,29.607
Tokelau,0.000,0.000,0.000
Tonga,0.000,20.289,61.662
TrinidadandTobago,0.172,17.454,46.346
Tunisia,0.872,32.939,70.672
Turkey,6.718,33.987,71.003
Turkmenistan,0.000,5.332,14.459
Turks&CaicosIs.,0.000,0.000,0.000
Tuvalu,0.000,0.000,0.000
Uganda,1.447,11.105,26.201
Ukraine,4.149,6.333,36.937
UnitedArabEmirates,13.183,76.469,223.603
UnitedKingdom,39.251,78.351,92.955
UnitedStates,36.604,97.616,138.995
Uruguay,8.386,47.692,99.229
Uzbekistan,10.698,25.018,60.413
Vanuatu,0.000,13.955,91.913
Vatican,0.000,0.000,0.000
Venezuela,10.940,41.734,53.942
VietNam,7.991,24.075,59.667
VirginIslands(US),0.000,0.000,0.000
WallisandFutuna,0.000,0.000,0.000
Yemen,0.000,2.748,5.899
Zambia,0.127,4.685,46.260
Zimbabwe,2.478,33.778,49.801
